season,pts,rb,ast,stl,blk,to,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%
1,7.9,5.1,1.1,1.3,0.4,0.7,3.1,6.3,0.493,0.6,1.7,0.376,1.1,1.4,0.773
2,11.9,6,1.6,1.7,0.6,1.1,4.5,9.1,0.494,1.1,3,0.374,1.8,2.2,0.825
3,12.8,6.2,2,1.7,0.8,1.2,5.1,9.8,0.522,1,2.8,0.379,1.5,1.9,0.802
4,16.5,7.2,2.5,2.3,0.8,1.5,6.2,12.8,0.479,1,3,0.349,3.2,3.9,0.802
5,21.2,6.8,2.6,1.8,1,1.5,7.7,15.1,0.506,1.8,4,0.443,4.1,4.6,0.874
6,25.5,5.8,3.5,1.8,0.7,2.1,8.6,17.7,0.485,2,5.2,0.38,6.3,7.2,0.88
7,16.2,4.7,2.3,2,1,1.8,5.8,12.3,0.468,1.2,3.9,0.314,3.4,4.2,0.816
8,26.6,7.3,3.3,1.8,0.4,2,9.3,18.8,0.496,1.9,5,0.371,6.1,7.1,0.854
9,26.9,7.3,5,1.8,0.6,2.7,9.3,19.9,0.469,2.1,5.7,0.366,6.1,6.9,0.889
