season,pts,rb,ast,stl,blk,to,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%
1,6.8,4.4,1.9,0.8,0.8,1.6,2.2,5.4,0.414,0.5,1.5,0.347,1.8,2.6,0.683
2,12.7,6.7,2.6,0.9,1,2.1,4.7,9.6,0.491,0.1,0.5,0.159,3.2,4.3,0.741
3,16.9,7.7,4.3,1.2,1.4,2.6,6.4,12.7,0.506,0.4,1.4,0.257,3.7,5.1,0.724
4,22.9,8.8,5.4,1.6,1.9,2.9,8.2,15.7,0.521,0.6,2.3,0.272,5.9,7.7,0.77
5,26.9,10,4.8,1.5,1.4,3,9.9,18.7,0.529,0.6,1.9,0.307,6.5,8.5,0.76
6,27.7,12.5,5.9,1.3,1.5,3.7,10,17.3,0.578,0.7,2.8,0.256,6.9,9.5,0.729
7,29.6,13.7,5.8,1,1,3.7,10.9,20,0.547,1.5,4.8,0.306,6.3,10,0.633
