season,pts,reb,ast,stl,blk,to,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%
1,13.5,8.2,1,1.2,1.8,1.4,5.5,10.6,0.516,0,0.1,0,2.6,3.5,0.751
2,20.8,10,1.6,1.3,2.8,1.6,7.8,15,0.519,0,0.1,0.222,5.2,6.6,0.791
3,24.4,10.2,2.2,1.5,2.9,1.4,9.4,17.6,0.535,0,0.2,0.083,5.5,6.8,0.805
4,24.3,10.3,1.9,1.3,2,2,9.2,18.6,0.493,0.6,1.8,0.324,5.3,7,0.758
5,28,11.8,2.1,1.3,2.2,2.4,10.3,20.3,0.505,0.5,1.8,0.299,6.9,8.6,0.802
6,28.1,11.1,2.3,1.5,2.6,2.2,10.4,19.5,0.534,0.7,2.2,0.34,6.6,8,0.828
7,25.9,12,3.9,1.6,2.4,2,9.5,18.3,0.517,0.9,2.6,0.331,6.1,7.7,0.794
8,26.7,9.4,3.1,1.5,2.4,2.5,9.2,18.1,0.511,1.2,3.5,0.335,7,8.3,0.845
